provider,round,question_id,group,latency_ms,failure,expected_failure,passed,evidence_score,rewrite_count
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q01,direta,11172.59,NONE,NONE,True,0.64,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q02,direta,2086.85,NONE,NONE,True,0.586,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q03,direta,2140.53,NONE,NONE,True,0.645,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q04,direta,1609.15,NONE,NONE,True,0.73,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q05,direta,1851.34,NONE,NONE,True,0.442,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q06,parafrase,2089.59,NONE,NONE,True,0.468,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q07,parafrase,2234.71,NONE,NONE,True,0.406,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q08,parafrase,2392.08,NONE,NONE,True,0.537,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q09,parafrase,1752.0,NONE,NONE,True,0.384,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q10,parafrase,1803.38,NONE,NONE,True,0.603,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q11,fora_da_base,1308.05,NO_EVIDENCE,NO_EVIDENCE,True,0.148,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q12,fora_da_base,1177.71,NO_EVIDENCE,NO_EVIDENCE,True,0.323,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q13,fora_da_base,1954.66,NO_EVIDENCE,NO_EVIDENCE,True,0.315,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q14,fora_da_base,210.94,NO_EVIDENCE,NO_EVIDENCE,True,0.272,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q15,fora_da_base,175.53,NO_EVIDENCE,NO_EVIDENCE,True,0.169,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q16,borda,0.52,INVALID_INPUT,INVALID_INPUT,True,0.0,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q17,borda,0.44,INVALID_INPUT,INVALID_INPUT,True,0.0,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q18,borda,1849.15,NO_EVIDENCE,NO_EVIDENCE,True,0.376,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q19,borda,2075.43,NONE,NONE,True,0.547,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q20,borda,2170.05,NONE,NONE,True,0.563,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q21,parafrase,1502.65,NONE,NONE,True,0.352,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q22,parafrase,2219.93,NONE,NONE,True,0.348,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q23,fora_da_base,202.68,NO_EVIDENCE,NO_EVIDENCE,True,0.294,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q24,escopo,74.86,NONE,NONE,True,0.4,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q25,escopo,157.22,NONE,NONE,True,0.544,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q26,fora_da_base,653.88,NO_EVIDENCE,NO_EVIDENCE,True,0.269,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q01,direta,2419.2,NONE,NONE,True,0.64,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q02,direta,2604.02,NONE,NONE,True,0.586,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q03,direta,2260.66,NONE,NONE,True,0.645,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q04,direta,1738.82,NONE,NONE,True,0.73,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q05,direta,2000.02,NONE,NONE,True,0.442,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q06,parafrase,2154.18,NONE,NONE,True,0.468,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q07,parafrase,2294.03,NONE,NONE,True,0.406,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q08,parafrase,2096.98,NONE,NONE,True,0.537,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q09,parafrase,1714.68,NONE,NONE,True,0.384,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q10,parafrase,1701.96,NONE,NONE,True,0.603,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q11,fora_da_base,907.77,NO_EVIDENCE,NO_EVIDENCE,True,0.148,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q12,fora_da_base,793.98,NO_EVIDENCE,NO_EVIDENCE,True,0.323,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q13,fora_da_base,1880.97,NO_EVIDENCE,NO_EVIDENCE,True,0.315,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q14,fora_da_base,118.96,NO_EVIDENCE,NO_EVIDENCE,True,0.272,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q15,fora_da_base,94.62,NO_EVIDENCE,NO_EVIDENCE,True,0.169,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q16,borda,0.53,INVALID_INPUT,INVALID_INPUT,True,0.0,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q17,borda,0.43,INVALID_INPUT,INVALID_INPUT,True,0.0,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q18,borda,1832.43,NO_EVIDENCE,NO_EVIDENCE,True,0.376,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q19,borda,2060.57,NONE,NONE,True,0.547,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q20,borda,2074.15,NONE,NONE,True,0.563,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q21,parafrase,1471.18,NONE,NONE,True,0.352,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q22,parafrase,1975.61,NONE,NONE,True,0.348,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q23,fora_da_base,134.65,NO_EVIDENCE,NO_EVIDENCE,True,0.294,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q24,escopo,2.44,NONE,NONE,True,0.4,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q25,escopo,83.62,NONE,NONE,True,0.544,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q26,fora_da_base,518.34,NO_EVIDENCE,NO_EVIDENCE,True,0.269,1
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q01,direta,2261.83,NONE,NONE,True,0.64,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q02,direta,2297.52,NONE,NONE,True,0.586,0
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,3,q03,direta,2314.94,NONE,NONE,True,0.645,0
