round,question_id,group,latency_ms,failure,expected_failure,passed,evidence_score,rewrite_count
1,q01,direta,3.29,NONE,NONE,True,0.566,0
1,q02,direta,3.25,NONE,NONE,True,0.837,1
1,q03,direta,2.22,NONE,NONE,True,0.54,0
1,q04,direta,2.13,NONE,NONE,True,0.774,0
1,q05,direta,3.2,NONE,NONE,True,0.791,1
1,q06,parafrase,3.16,NONE,NONE,True,0.905,1
1,q07,parafrase,3.21,NONE,NONE,True,0.809,1
1,q08,parafrase,2.17,NONE,NONE,True,0.425,0
1,q09,parafrase,3.17,NONE,NONE,True,0.806,1
1,q10,parafrase,2.16,NONE,NONE,True,0.738,0
1,q11,fora_da_base,2.31,NO_EVIDENCE,NO_EVIDENCE,True,0.068,1
1,q12,fora_da_base,2.81,NO_EVIDENCE,NO_EVIDENCE,True,0.085,1
1,q13,fora_da_base,2.82,NO_EVIDENCE,NO_EVIDENCE,True,0.329,1
1,q14,fora_da_base,2.39,NO_EVIDENCE,NO_EVIDENCE,True,0.081,1
1,q15,fora_da_base,4.26,NO_EVIDENCE,NO_EVIDENCE,True,0.079,1
1,q16,borda,0.57,INVALID_INPUT,INVALID_INPUT,True,0.0,0
1,q17,borda,0.55,INVALID_INPUT,INVALID_INPUT,True,0.0,0
1,q18,borda,2.09,NO_EVIDENCE,NO_EVIDENCE,True,0.258,1
1,q19,borda,2.05,NONE,NONE,True,0.709,0
1,q20,borda,3.1,NONE,NONE,True,0.693,1
2,q01,direta,2.15,NONE,NONE,True,0.566,0
2,q02,direta,3.06,NONE,NONE,True,0.837,1
2,q03,direta,2.16,NONE,NONE,True,0.54,0
2,q04,direta,2.1,NONE,NONE,True,0.774,0
2,q05,direta,2.98,NONE,NONE,True,0.791,1
2,q06,parafrase,2.84,NONE,NONE,True,0.905,1
2,q07,parafrase,2.97,NONE,NONE,True,0.809,1
2,q08,parafrase,2.05,NONE,NONE,True,0.425,0
2,q09,parafrase,3.02,NONE,NONE,True,0.806,1
2,q10,parafrase,2.14,NONE,NONE,True,0.738,0
2,q11,fora_da_base,2.02,NO_EVIDENCE,NO_EVIDENCE,True,0.068,1
2,q12,fora_da_base,2.04,NO_EVIDENCE,NO_EVIDENCE,True,0.085,1
2,q13,fora_da_base,2.34,NO_EVIDENCE,NO_EVIDENCE,True,0.329,1
2,q14,fora_da_base,2.08,NO_EVIDENCE,NO_EVIDENCE,True,0.081,1
2,q15,fora_da_base,1.99,NO_EVIDENCE,NO_EVIDENCE,True,0.079,1
2,q16,borda,0.54,INVALID_INPUT,INVALID_INPUT,True,0.0,0
2,q17,borda,0.52,INVALID_INPUT,INVALID_INPUT,True,0.0,0
2,q18,borda,2.0,NO_EVIDENCE,NO_EVIDENCE,True,0.258,1
2,q19,borda,2.01,NONE,NONE,True,0.709,0
2,q20,borda,2.92,NONE,NONE,True,0.693,1
3,q01,direta,2.12,NONE,NONE,True,0.566,0
3,q02,direta,3.06,NONE,NONE,True,0.837,1
3,q03,direta,2.08,NONE,NONE,True,0.54,0
3,q04,direta,2.08,NONE,NONE,True,0.774,0
3,q05,direta,3.13,NONE,NONE,True,0.791,1
3,q06,parafrase,3.01,NONE,NONE,True,0.905,1
3,q07,parafrase,3.3,NONE,NONE,True,0.809,1
3,q08,parafrase,2.09,NONE,NONE,True,0.425,0
3,q09,parafrase,3.19,NONE,NONE,True,0.806,1
3,q10,parafrase,2.18,NONE,NONE,True,0.738,0
3,q11,fora_da_base,4.18,NO_EVIDENCE,NO_EVIDENCE,True,0.068,1
3,q12,fora_da_base,2.06,NO_EVIDENCE,NO_EVIDENCE,True,0.085,1
3,q13,fora_da_base,2.07,NO_EVIDENCE,NO_EVIDENCE,True,0.329,1
3,q14,fora_da_base,2.08,NO_EVIDENCE,NO_EVIDENCE,True,0.081,1
3,q15,fora_da_base,2.22,NO_EVIDENCE,NO_EVIDENCE,True,0.079,1
3,q16,borda,0.53,INVALID_INPUT,INVALID_INPUT,True,0.0,0
3,q17,borda,0.53,INVALID_INPUT,INVALID_INPUT,True,0.0,0
3,q18,borda,2.01,NO_EVIDENCE,NO_EVIDENCE,True,0.258,1
3,q19,borda,2.0,NONE,NONE,True,0.709,0
3,q20,borda,2.99,NONE,NONE,True,0.693,1
