provider,round,question_id,group,latency_ms,failure,expected_failure,passed,evidence_score,rewrite_count,retrieved_chunks
mock:deterministic-mock+dense:hashing-ngram-384,1,q01,direta,3.8,NONE,NONE,True,0.58,0,reembolso_c2:0.580|reembolso_c3:0.167|viagens_corporativas_c3:0.159|viagens_corporativas_c2:0.140
mock:deterministic-mock+dense:hashing-ngram-384,1,q02,direta,2.61,NO_EVIDENCE,NONE,False,0.206,1,ferias_c2:0.206|ferias_c1:0.201|ferias_c3:0.201|ferias_c4:0.145
mock:deterministic-mock+dense:hashing-ngram-384,1,q03,direta,2.57,NONE,NONE,True,0.562,0,home_office_c2:0.562|knowledge_base_catalog_c1:0.162|home_office_c1:0.143|onboarding_c2:0.134
mock:deterministic-mock+dense:hashing-ngram-384,1,q04,direta,2.27,NONE,NONE,True,0.774,0,seguranca_informacao_c1:0.774|home_office_c4:0.183|equipamentos_ti_c2:0.174|viagens_corporativas_c2:0.093
mock:deterministic-mock+dense:hashing-ngram-384,1,q05,direta,2.3,NO_EVIDENCE,NONE,False,0.171,1,seguranca_informacao_c3:0.171|onboarding_c4:0.154|viagens_corporativas_c3:0.104|equipamentos_ti_c3:0.101
mock:deterministic-mock+dense:hashing-ngram-384,1,q06,parafrase,2.37,NO_EVIDENCE,NONE,False,0.245,1,ferias_c2:0.245|ferias_c3:0.127|viagens_corporativas_c1:0.098|knowledge_base_catalog_c1:0.071
mock:deterministic-mock+dense:hashing-ngram-384,1,q07,parafrase,2.33,NO_EVIDENCE,NONE,False,0.092,1,reembolso_c2:0.092|reembolso_c3:0.024|home_office_c1:0.091|onboarding_c3:0.074
mock:deterministic-mock+dense:hashing-ngram-384,1,q08,parafrase,2.26,NONE,NONE,True,0.416,0,home_office_c2:0.416|equipamentos_ti_c3:0.203|conduta_etica_c3:0.062|home_office_c1:0.046
mock:deterministic-mock+dense:hashing-ngram-384,1,q09,parafrase,2.31,NO_EVIDENCE,NONE,False,0.092,1,equipamentos_ti_c4:0.092|ferias_c2:0.091|home_office_c2:0.067|conduta_etica_c1:0.064
mock:deterministic-mock+dense:hashing-ngram-384,1,q10,parafrase,2.24,NONE,NONE,True,0.477,0,onboarding_c2:0.477|onboarding_c3:0.030|previdencia_privada_c2:0.065|previdencia_privada_c3:0.063
mock:deterministic-mock+dense:hashing-ngram-384,1,q11,fora_da_base,2.38,NO_EVIDENCE,NO_EVIDENCE,True,0.068,1,home_office_c2:0.068|onboarding_c2:0.066|ferias_c3:0.061|home_office_c3:0.060
mock:deterministic-mock+dense:hashing-ngram-384,1,q12,fora_da_base,2.46,NO_EVIDENCE,NO_EVIDENCE,True,0.174,1,previdencia_privada_c2:0.174|viagens_corporativas_c2:0.143|previdencia_privada_c1:0.104|conduta_etica_c1:0.102
mock:deterministic-mock+dense:hashing-ngram-384,1,q13,fora_da_base,2.67,NO_EVIDENCE,NO_EVIDENCE,True,0.333,1,home_office_c1:0.333|equipamentos_ti_c4:0.057|ferias_c2:0.048|home_office_c2:0.044
mock:deterministic-mock+dense:hashing-ngram-384,1,q14,fora_da_base,2.71,NO_EVIDENCE,NO_EVIDENCE,True,0.083,1,ferias_c1:0.083|onboarding_c3:0.040|home_office_c1:0.040|seguranca_informacao_c1:0.029
mock:deterministic-mock+dense:hashing-ngram-384,1,q15,fora_da_base,2.36,NO_EVIDENCE,NO_EVIDENCE,True,0.225,1,onboarding_c1:0.225|conduta_etica_c1:0.200|equipamentos_ti_c2:0.180|viagens_corporativas_c1:0.159
mock:deterministic-mock+dense:hashing-ngram-384,1,q16,borda,0.58,INVALID_INPUT,INVALID_INPUT,True,0.0,0,
mock:deterministic-mock+dense:hashing-ngram-384,1,q17,borda,0.59,INVALID_INPUT,INVALID_INPUT,True,0.0,0,
mock:deterministic-mock+dense:hashing-ngram-384,1,q18,borda,3.61,NONE,NO_EVIDENCE,False,0.449,1,onboarding_c2:0.449|onboarding_c3:0.000|knowledge_base_catalog_c1:0.400|reembolso_c3:0.104
mock:deterministic-mock+dense:hashing-ngram-384,1,q19,borda,2.16,NONE,NONE,True,0.709,0,seguranca_informacao_c1:0.709|onboarding_c1:0.179|onboarding_c3:0.043|home_office_c2:0.041
