provider,round,question_id,group,latency_ms,failure,expected_failure,passed,evidence_score,rewrite_count,retrieved_chunks
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q01,direta,2318.45,NONE,NONE,True,0.648,0,reembolso_c2:0.648|reembolso_c3:0.420
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q02,direta,1993.23,NONE,NONE,True,0.561,0,ferias_c2:0.561|ferias_c3:0.465
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q03,direta,2076.69,NONE,NONE,True,0.655,0,home_office_c2:0.655|reembolso_c3:0.312
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q04,direta,1544.21,NONE,NONE,True,0.747,0,seguranca_informacao_c1:0.747|home_office_c4:0.347
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q05,direta,1921.12,NONE,NONE,True,0.426,0,onboarding_c4:0.426|ferias_c2:0.296
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q06,parafrase,2007.46,NONE,NONE,True,0.442,0,ferias_c3:0.442|ferias_c2:0.439
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q07,parafrase,2641.77,NONE,NONE,True,0.381,0,reembolso_c3:0.381|reembolso_c2:0.373
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q08,parafrase,2019.81,NONE,NONE,True,0.531,0,home_office_c2:0.531|equipamentos_ti_c3:0.312
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q09,parafrase,1682.71,NONE,NONE,True,0.485,0,equipamentos_ti_c4:0.485|seguranca_informacao_c4:0.360
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q10,parafrase,1651.67,NONE,NONE,True,0.527,0,onboarding_c2:0.527|onboarding_c3:0.268
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q11,fora_da_base,930.71,NO_EVIDENCE,NO_EVIDENCE,True,0.155,1,politica_arquivada_teste_c1:0.155|ferias_c3:0.139
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q12,fora_da_base,1065.66,NO_EVIDENCE,NO_EVIDENCE,True,0.323,1,previdencia_privada_c2:0.323|viagens_corporativas_c2:0.263
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q13,fora_da_base,744.73,NO_EVIDENCE,NO_EVIDENCE,True,0.165,1,home_office_c1:0.165|reembolso_c3:0.062
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q14,fora_da_base,191.1,NO_EVIDENCE,NO_EVIDENCE,True,0.251,0,home_office_c3:0.251|home_office_c1:0.232
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q15,fora_da_base,774.11,NO_EVIDENCE,NO_EVIDENCE,True,0.249,1,politica_arquivada_teste_c1:0.249|seguranca_informacao_c2:0.231
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q16,borda,0.48,INVALID_INPUT,INVALID_INPUT,True,0.0,0,
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q17,borda,0.39,INVALID_INPUT,INVALID_INPUT,True,0.0,0,
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q18,borda,1817.76,NO_EVIDENCE,NO_EVIDENCE,True,0.357,0,reembolso_c5:0.357|reembolso_c2:0.292
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q19,borda,2054.61,NONE,NONE,True,0.576,0,seguranca_informacao_c1:0.576|onboarding_c1:0.260
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q20,borda,2092.16,NONE,NONE,True,0.533,0,ferias_c4:0.533|ferias_c2:0.448
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q21,parafrase,1565.69,NONE,NONE,True,0.352,0,home_office_c1:0.352|home_office_c4:0.342
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q22,parafrase,1887.15,NONE,NONE,True,0.348,0,home_office_c2:0.348|home_office_c1:0.345
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q23,fora_da_base,162.01,NO_EVIDENCE,NO_EVIDENCE,True,0.274,0,reembolso_c5:0.274|reembolso_c1:0.218
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q24,escopo,75.01,NONE,NONE,True,0.4,0,knowledge_base_catalog_c1:0.400|onboarding_c1:0.274
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q25,escopo,159.37,NONE,NONE,True,0.567,0,knowledge_base_catalog_c1:0.567|seguranca_informacao_c3:0.206
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q26,fora_da_base,651.36,NO_EVIDENCE,NO_EVIDENCE,True,0.257,1,home_office_c1:0.257|seguranca_informacao_c2:0.246
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q27,nova_direta,1818.32,NONE,NONE,True,0.63,0,viagens_corporativas_c1:0.630|viagens_corporativas_c2:0.535
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q28,nova_parafrase,1925.1,NONE,NONE,True,0.485,0,viagens_corporativas_c2:0.485|viagens_corporativas_c3:0.402
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q29,nova_direta,1964.09,NONE,NONE,True,0.629,0,equipamentos_ti_c3:0.629|seguranca_informacao_c2:0.341
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q30,nova_parafrase,1777.36,NONE,NONE,True,0.407,0,equipamentos_ti_c3:0.407|equipamentos_ti_c1:0.364
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q31,nova_direta,1682.32,NONE,NONE,True,0.513,0,previdencia_privada_c1:0.513|previdencia_privada_c2:0.385
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q32,nova_parafrase,1550.84,NONE,NONE,True,0.505,0,previdencia_privada_c2:0.505|previdencia_privada_c1:0.440
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q33,nova_direta,1910.12,NONE,NONE,True,0.545,0,conduta_etica_c1:0.545|ferias_c1:0.248
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q34,nova_parafrase,1762.76,NONE,NONE,True,0.731,0,conduta_etica_c2:0.731|viagens_corporativas_c2:0.309
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q35,cruzada,1965.74,NONE,NONE,True,0.647,0,viagens_corporativas_c3:0.647|viagens_corporativas_c2:0.450
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q36,cruzada,2448.57,NONE,NONE,True,0.561,0,reembolso_c2:0.561|reembolso_c3:0.513
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q37,cruzada,1922.84,NONE,NONE,True,0.475,0,equipamentos_ti_c4:0.475|seguranca_informacao_c4:0.402
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q38,cruzada,2344.63,NONE,NONE,True,0.589,0,home_office_c2:0.589|reembolso_c3:0.386
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q39,adjacente,1150.14,NO_EVIDENCE,NO_EVIDENCE,True,0.293,1,reembolso_c2:0.293|reembolso_c3:0.266
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q40,adjacente,912.69,NO_EVIDENCE,NO_EVIDENCE,True,0.377,1,equipamentos_ti_c3:0.377|home_office_c2:0.366
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q41,adjacente,184.46,NO_EVIDENCE,NO_EVIDENCE,True,0.311,0,previdencia_privada_c1:0.311|previdencia_privada_c3:0.275
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q42,injecao,2004.16,NONE,NONE,True,0.701,0,politica_arquivada_teste_c1:0.701|reembolso_c4:0.239
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q43,injecao,2411.88,NONE,NONE,True,0.709,0,reembolso_c2:0.709|reembolso_c3:0.461
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,2,q01,direta,2376.69,NONE,NONE,True,0.648,0,reembolso_c2:0.648|reembolso_c3:0.420
