provider,round,question_id,group,latency_ms,failure,expected_failure,passed,evidence_score,rewrite_count,retrieved_chunks
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q01,direta,10565.32,NONE,NONE,True,0.645,0,reembolso_c2:0.645|reembolso_c3:0.443|viagens_corporativas_c3:0.422|reembolso_c4:0.404
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q02,direta,2136.16,NONE,NONE,True,0.588,0,ferias_c2:0.588|ferias_c3:0.486|ferias_c1:0.486|ferias_c5:0.417
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q03,direta,2493.25,NONE,NONE,True,0.653,0,home_office_c2:0.653|reembolso_c3:0.331|previdencia_privada_c2:0.326|home_office_c1:0.289
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q04,direta,1630.01,NONE,NONE,True,0.73,0,seguranca_informacao_c1:0.730|home_office_c4:0.358|equipamentos_ti_c2:0.356|seguranca_informacao_c2:0.318
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q05,direta,2025.06,NONE,NONE,True,0.447,0,onboarding_c4:0.447|ferias_c2:0.315|viagens_corporativas_c3:0.294|onboarding_c1:0.281
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q06,parafrase,2039.5,NONE,NONE,True,0.466,0,ferias_c3:0.466|ferias_c2:0.448|ferias_c4:0.337|ferias_c1:0.323
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q07,parafrase,2836.37,NONE,NONE,True,0.406,0,reembolso_c3:0.406|reembolso_c2:0.395|home_office_c2:0.350|previdencia_privada_c2:0.337
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q08,parafrase,2293.34,NONE,NONE,True,0.534,0,home_office_c2:0.534|equipamentos_ti_c3:0.319|reembolso_c3:0.267|reembolso_c2:0.253
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q09,parafrase,1836.44,NONE,NONE,True,0.515,0,equipamentos_ti_c4:0.515|seguranca_informacao_c4:0.382|equipamentos_ti_c1:0.346|equipamentos_ti_c3:0.317
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q10,parafrase,1970.78,NONE,NONE,True,0.522,0,onboarding_c2:0.522|onboarding_c3:0.286|reembolso_c2:0.274|reembolso_c3:0.265
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q11,fora_da_base,1354.38,NO_EVIDENCE,NO_EVIDENCE,True,0.165,1,politica_arquivada_teste_c1:0.165|ferias_c3:0.148|previdencia_privada_c2:0.135|ferias_c4:0.133
ollama:qwen3:1.7b+ollama:embeddinggemma:300m-qat-q4_0,1,q12,fora_da_base,999.27,NO_EVIDENCE,NO_EVIDENCE,True,0.338,1,previdencia_privada_c2:0.338|viagens_corporativas_c2:0.281|home_office_c2:0.278|previdencia_privada_c1:0.244
